Key,X,Y,Z,IM_X,IM_Y
Q,153.7,-84.5,-37,0,0
W,151.5,-70,-37,0,3
E,150.1,-55.2,-37,0,6
R,147.4,-41,-37,0,9
T,145.3,-27.5,-37,0,12
Y,145.7,-14.5,-37,0,15
U,144.9,-1,-37,0,18
I,145.7,12.2,-37,0,21
O,145.7,25.5,-37,0,24
P,146,39.5,-37,0,27
A,170.1,-83,-37,1,1
S,169.4,-69,-37,1,4
D,168,-54,-37,1,7
F,166.6,-40,-37,1,10
G,165,-24.7,-37,1,13
H,165.8,-11.7,-37,1,16
J,164.5,2.5,-37,1,19
K,163.1,16.4,-37,1,22
L,165.1,31.4,-37,1,25
Z,189.2,-77.5,-37,2,2
X,187.9,-62,-37,2,5
C,184.9,-47.1,-37,2,8
V,185.2,-32.6,-37,2,11
B,183.3,-18.3,-37,2,14
N,182.9,-4.3,-37,2,17
M,183.6,9.5,-37,2,20
SPACE,202.3,-18.3,-37,3,14
UP,190.6,95.6,-37,2,43
LEFT,205.9,81.7,-37,3,40
DOWN,207,96.9,-37,3,43
RIGHT,207.8,112.5,-37,3,46
